adcode,city,province,any_response,all_responses,central_response
632200,海北,青海,1.1219262880256704,1.1248912518843044,1.1229357000656184
632300,黄南,青海,1.1237259431706277,1.1268245938359578,1.1254629258362525
632500,海南,青海,1.1246156150449584,1.1265451277651666,1.1256213586487789
632600,果洛,青海,1.1268347187968195,1.1329456985268507,1.1306066885721449
632700,玉树,青海,1.1272133160612752,1.1332576853770684,1.1309226399131735
632800,海西,青海,1.1254837190913216,1.1265869838009257,1.1259749804047392
640100,银川,宁夏,1.1122917789179192,1.1204468736239843,1.1150561712701526
640200,石嘴山,宁夏,1.1096109799948601,1.1194401489929273,1.1128905609683575
640300,吴忠,宁夏,1.1146883580683737,1.1210265650876379,1.1169013749001748
640400,固原,宁夏,1.118546132008224,1.1213868912432674,1.1197036301013052
640500,中卫,宁夏,1.1177523650995873,1.122265239680393,1.119367655763248
650100,乌鲁木齐,新疆,1.1118718544828199,1.1208949141245377,1.1148321552596159
650200,克拉玛依,新疆,1.1118276858391203,1.1209469154556488,1.1147819644061863
650400,吐鲁番,新疆,1.1010058527051438,1.1169161095653224,1.106170023681012
650500,哈密,新疆,1.1084824166344083,1.1200087118679518,1.1122217842974569
652300,昌吉,新疆,1.108987980820105,1.1198719075444616,1.1125286983937641
652700,博州,新疆,1.1059249445058643,1.1179783691527023,1.1099480826949784
652800,巴州,新疆,1.1093898866729321,1.1201325736831382,1.1129297355229564
652900,阿克苏,新疆,1.1034274531027468,1.1173235820720224,1.1079709342716106
653000,克州,新疆,1.1018054349391584,1.1168900737650576,1.1066991011131826
653100,喀什,新疆,1.1038855342458105,1.1178190841794706,1.1084444662906914
653200,和田,新疆,1.1100064203028275,1.1206600458193723,1.1135457647956057
654000,伊犁,新疆,1.1060844444146476,1.1181091649148833,1.1100569797417128
654200,塔城,新疆,1.1111670800574394,1.1205343320645702,1.1142142235406938
654300,阿勒泰,新疆,1.1178122233077634,1.1233149758726066,1.1195942564975672
