case,context,strategy,share,admin_fraction,before_viable,after_viable,after_si,after_sj,after_t,direct_support_usd,total_public_usd,private_gain_usd,additional_discounted_mwh
Investment85%,cap,General,0.1,0.0,319,330,277,53,0,14889911.769209046,14889911.769209046,13964086.792378806,276452.6981906462
Investment85%,cap,General,0.1,0.05,319,330,277,53,0,14889911.769209046,15634407.357669499,13964086.792378806,276452.6981906462
Investment85%,cap,General,0.1,0.1,319,330,277,53,0,14889911.769209046,16378902.946129952,13964086.792378806,276452.6981906462
Investment85%,cap,New technology,0.1,0.0,319,330,8,322,0,10537450.0,10537450.0,7549922.053973562,-207269.59333553637
Investment85%,cap,New technology,0.1,0.05,319,330,8,322,0,10537450.0,11064322.5,7549922.053973562,-207269.59333553637
Investment85%,cap,New technology,0.1,0.1,319,330,8,322,0,10537450.0,11591195.000000002,7549922.053973562,-207269.59333553637
Investment85%,cap,Matched gap,0.1,0.0,319,330,277,53,0,925934.9768302407,925934.9768302407,110.00000000000091,276452.6981906462
Investment85%,cap,Matched gap,0.1,0.05,319,330,277,53,0,925934.9768302407,972231.7256717528,110.00000000000091,276452.6981906462
Investment85%,cap,Matched gap,0.1,0.1,319,330,277,53,0,925934.9768302407,1018528.4745132648,110.00000000000091,276452.6981906462
Investment85%,cap,General,0.2,0.0,319,335,335,0,0,31820130.452599503,31820130.452599503,29576898.566036087,400584.5898223434
Investment85%,cap,General,0.2,0.05,319,335,335,0,0,31820130.452599503,33411136.97522948,29576898.566036087,400584.5898223434
Investment85%,cap,General,0.2,0.1,319,335,335,0,0,31820130.452599503,35002143.497859456,29576898.566036087,400584.5898223434
Investment85%,cap,New technology,0.2,0.0,319,335,0,335,0,21925750.0,21925750.0,18412324.097128734,-169386.6371439141
Investment85%,cap,New technology,0.2,0.05,319,335,0,335,0,21925750.0,23022037.5,18412324.097128734,-169386.6371439141
Investment85%,cap,New technology,0.2,0.1,319,335,0,335,0,21925750.0,24118325.000000004,18412324.097128734,-169386.6371439141
Investment85%,cap,Matched gap,0.2,0.0,319,335,335,0,0,2243388.8865634156,2243388.8865634156,157.0,400584.5898223434
Investment85%,cap,Matched gap,0.2,0.05,319,335,335,0,0,2243388.8865634156,2355558.3308915864,157.0,400584.5898223434
Investment85%,cap,Matched gap,0.2,0.1,319,335,335,0,0,2243388.8865634156,2467727.7752197576,157.0,400584.5898223434
Investment85%,cap,General,0.3,0.0,319,337,337,0,0,48015152.071012065,48015152.071012065,45563977.328317806,424152.5839211977
Investment85%,cap,General,0.3,0.05,319,337,337,0,0,48015152.071012065,50415909.67456267,45563977.328317806,424152.5839211977
Investment85%,cap,General,0.3,0.1,319,337,337,0,0,48015152.071012065,52816667.278113276,45563977.328317806,424152.5839211977
Investment85%,cap,New technology,0.3,0.0,319,337,0,337,0,33084975.0,33084975.0,29420768.231185593,-147602.8253892242
Investment85%,cap,New technology,0.3,0.05,319,337,0,337,0,33084975.0,34739223.75,29420768.231185593,-147602.8253892242
