sj_degradation,relative_sj_yield_change,replacement_rule,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.005,-0.0825,salvage,330,337,7,0,79092.79655727759,139498.5193915959,79092.79655727759,0.0,139498.5193915959,0.0,27246450.0,25824256.350875814,0,337,0,False,False
0.005,-0.0825,stop_option,333,337,4,3,26724.862048990257,35767.12181635865,40405.15248685113,-13680.290437860884,66250.54073721351,-30483.41892085484,27246450.0,25843487.881848566,0,337,0,False,False
0.005,-0.08,full,298,329,31,298,-166154.5556059985,-226071.00108808867,401354.2117147884,-567508.7673207868,707881.3839291716,-933952.3850172604,26599650.0,12757908.592894558,0,329,0,True,True
0.005,-0.08,half,324,337,13,3,144758.8201803504,256155.45019787812,153171.70772281368,-8412.887542463315,270153.8872069219,-13998.437009043737,27246450.0,25590359.794619236,0,337,0,False,False
0.005,-0.08,salvage,332,337,5,0,55783.87408969591,98387.82013232232,55783.87408969591,0.0,98387.82013232232,0.0,27246450.0,25831458.16971977,0,337,0,False,False
0.005,-0.08,stop_option,333,337,4,2,31405.322680838104,46054.40269436242,40515.24827019406,-9109.925589355957,66431.05992178357,-20376.65722742115,27246450.0,25853442.309217203,0,337,0,False,False
0.005,-0.0775,full,298,329,31,298,-151070.61059024232,-199466.960165621,402444.8481596655,-553515.4587499078,709804.9746463704,-909271.9348119915,26599650.0,13361266.393524805,0,329,0,True,True
0.005,-0.0775,half,325,337,12,3,132877.62722894055,235200.2065161445,141118.63071877946,-8241.003489838877,248895.4860710101,-13695.279554865578,27246450.0,25612643.88604289,0,337,0,False,False
0.005,-0.0775,salvage,332,337,5,0,55935.46070407009,98655.17833920365,55935.46070407009,0.0,98655.17833920365,0.0,27246450.0,25837521.634294737,0,337,0,False,False
0.005,-0.0775,stop_option,333,337,4,2,31622.215618697017,46410.03244776855,40625.344053536974,-9003.12843483996,66611.57910635363,-20201.54665858508,27246450.0,25862118.026731562,0,337,0,False,False
0.005,-0.075,full,298,330,32,298,-123775.5850153587,-151325.84213479498,415746.5651636693,-539522.1501790279,733265.6424719263,-884591.4846067213,26680500.0,13965104.420171397,0,330,0,True,True
0.005,-0.075,half,326,337,11,2,123630.80179786481,218618.82604381276,129054.75343036774,-5423.951632502882,227618.03612477364,-8999.210080960875,27246450.0,25633995.841397963,0,337,0,False,False
0.005,-0.075,salvage,333,337,4,0,44315.07039092793,78159.92069254989,44315.07039092793,0.0,78159.92069254989,0.0,27246450.0,25842485.38054267,0,337,0,False,False
0.005,-0.075,stop_option,333,337,4,1,36263.87213822809,56752.68523764468,40735.439836879894,-4471.567698651805,66792.0982909237,-10039.413053279033,27246450.0,25870520.28960753,0,337,0,False,False
0.005,-0.0725,full,298,330,32,298,-108658.63707917248,-124663.592895818,416870.20452897646,-525528.8416081489,735247.4415056342,-859911.0344014522,26680500.0,14569782.337618846,0,330,0,True,True
0.005,-0.0725,half,328,337,9,1,101824.6024476756,179873.66414320067,104513.85610054657,-2689.2536528709898,184334.46301742955,-4460.798874228836,27246450.0,25650504.64946854,0,337,0,False,False
0.005,-0.0725,salvage,333,337,4,0,44434.840851443965,78371.16372144865,44434.840851443965,0.0,78371.16372144865,0.0,27246450.0,25847276.198963307,0,337,0,False,False
0.005,-0.0725,stop_option,333,337,4,0,40845.535620222814,66972.61747549375,40845.535620222814,0.0,66972.61747549375,0.0,27246450.0,25876522.830982044,0,337,0,False,False
0.005,-0.07,full,298,330,32,298,-93541.68914298603,-98001.34365684108,417993.84389428364,-511535.5330372698,737229.2405393422,-835230.5841961832,26680500.0,15174460.255066302,0,330,0,True,True
0.005,-0.07,half,328,337,9,0,104795.56460755614,184831.32140831207,104795.56460755612,0.0,184831.32140831207,0.0,27246450.0,25663036.298981816,0,337,0,False,False
0.005,-0.07,salvage,333,337,4,0,44554.611311959976,78582.40675034744,44554.61131195997,0.0,78582.40675034744,0.0,27246450.0,25852067.017383948,0,337,0,False,False
0.005,-0.07,stop_option,333,337,4,0,40955.631403565734,67153.13666006383,40955.631403565734,0.0,67153.13666006381,0.0,27246450.0,25880926.66231576,0,337,0,False,False
0.005,-0.0675,full,298,330,32,298,-78424.74120679914,-71339.09441786294,419117.4832595909,-497542.2244663901,739211.0395730501,-810550.133990913,26680500.0,15779138.172513777,0,330,0,True,True
0.005,-0.0675,half,328,337,9,0,105077.2731145657,185328.17979919462,105077.2731145657,0.0,185328.17979919465,0.0,27246450.0,25674304.639262203,0,337,0,False,False
0.005,-0.0675,salvage,333,337,4,0,44674.381772476,78793.64977924623,44674.381772476,0.0,78793.64977924623,0.0,27246450.0,25856857.83580459,0,337,0,False,False
0.005,-0.0675,stop_option,333,337,4,0,41065.72718690865,67333.65584463389,41065.72718690865,0.0,67333.65584463389,0.0,27246450.0,25885330.493649475,0,337,0,False,False
0.005,-0.065,full,298,330,32,298,-63307.79327061222,-44676.84517888486,420241.12262489815,-483548.91589551035,741192.8386067579,-785869.683785643,26680500.0,16383816.089961255,0,330,0,True,True
0.005,-0.065,half,328,337,9,0,105358.98162157527,185825.03819007723,105358.98162157527,0.0,185825.03819007718,0.0,27246450.0,25685572.979542583,0,337,0,False,False
