amplitude,context,om,policy,adcode,baseline_choice,choice_certified,viability_certified,nonviability_certified
0.01,cap,proportional,General20,421300,0,True,True,False
0.01,cap,proportional,General20,422800,-1,True,False,True
0.01,cap,proportional,General20,430100,0,False,True,False
0.01,cap,proportional,General20,430200,0,False,True,False
0.01,cap,proportional,General20,430300,0,False,True,False
0.01,cap,proportional,General20,430400,0,False,True,False
0.01,cap,proportional,General20,430500,0,False,True,False
0.01,cap,proportional,General20,430600,0,False,True,False
0.01,cap,proportional,General20,430700,0,False,True,False
0.01,cap,proportional,General20,430800,0,False,False,False
0.01,cap,proportional,General20,430900,0,False,True,False
0.01,cap,proportional,General20,431000,0,False,True,False
0.01,cap,proportional,General20,431100,0,False,True,False
0.01,cap,proportional,General20,431200,0,False,False,False
0.01,cap,proportional,General20,431300,0,False,True,False
0.01,cap,proportional,General20,433100,-1,True,False,True
0.01,cap,proportional,General20,440100,0,False,True,False
0.01,cap,proportional,General20,440200,0,False,True,False
0.01,cap,proportional,General20,440300,0,False,True,False
0.01,cap,proportional,General20,440400,0,True,True,False
0.01,cap,proportional,General20,440500,0,True,True,False
0.01,cap,proportional,General20,440600,0,False,True,False
0.01,cap,proportional,General20,440700,0,False,True,False
0.01,cap,proportional,General20,440800,0,False,True,False
0.01,cap,proportional,General20,440900,0,False,True,False
0.01,cap,proportional,General20,441200,0,False,True,False
0.01,cap,proportional,General20,441300,0,False,True,False
0.01,cap,proportional,General20,441400,0,False,True,False
0.01,cap,proportional,General20,441500,0,True,True,False
0.01,cap,proportional,General20,441600,0,False,True,False
0.01,cap,proportional,General20,441700,0,False,True,False
0.01,cap,proportional,General20,441800,0,False,True,False
0.01,cap,proportional,General20,441900,0,False,True,False
0.01,cap,proportional,General20,442000,0,False,True,False
0.01,cap,proportional,General20,445100,0,True,True,False
0.01,cap,proportional,General20,445200,0,False,True,False
0.01,cap,proportional,General20,445300,0,False,True,False
0.01,cap,proportional,General20,450100,0,False,True,False
0.01,cap,proportional,General20,450200,0,False,True,False
0.01,cap,proportional,General20,450300,0,False,True,False
0.01,cap,proportional,General20,450400,0,False,True,False
0.01,cap,proportional,General20,450500,0,True,True,False
0.01,cap,proportional,General20,450600,0,False,True,False
0.01,cap,proportional,General20,450700,0,False,True,False
0.01,cap,proportional,General20,450800,0,False,True,False
