adcode,city,city_fullname,province,province_fullname,province_code,admin_type,lat,lon,altitude_m,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,csi_PR,perovskite_PR,tandem_PR
230600,大庆,大庆市,黑龙江,黑龙江省,230000,prefecture_level_city,46.587394,125.097024,144.0,1412.28625,4.087288812785389,1591.902198335365,1605.3301967659584,1574.3769003624827,0.8435190581830287,-1.1009029318012287,350.2192791767867,309.6417810463988,445.7367130928473,0.8569292979560149,0.8641576598994279,0.8474953381913535
230700,伊春,伊春市,黑龙江,黑龙江省,230000,prefecture_level_city,47.726065,128.83381,233.0,1384.67581,2.1520924657534253,1561.061151027092,1577.2874265228493,1544.548850112988,1.0394388128281529,-1.0577613121202645,343.4342333563493,304.232792078868,437.29181208272905,0.8539638994448048,0.8628403316631746,0.8449309996970039
230800,佳木斯,佳木斯市,黑龙江,黑龙江省,230000,prefecture_level_city,46.797781,130.311123,81.0,1412.0028,3.896202054794521,1626.066075238706,1639.6014335014752,1607.4112405843323,0.8323990315573182,-1.1472371841737772,357.7353491687021,316.2521387178775,455.0893771380884,0.859754277644675,0.8669108639255619,0.8498908568790107
230900,七台河,七台河市,黑龙江,黑龙江省,230000,prefecture_level_city,45.768954,130.995311,225.0,1393.1178,3.339181506849316,1593.779406893443,1606.7413884920425,1575.175855300782,0.813285799937935,-1.1672601309940744,350.6322659976869,309.9139767107817,445.9629127709706,0.8586317869921217,0.8656149173894822,0.8486093204705208
231000,牡丹江,牡丹江市,黑龙江,黑龙江省,230000,prefecture_level_city,44.54952,129.625851,242.0,1369.57125,3.640775114155252,1496.5654465442674,1512.553471522588,1478.6519769726517,1.0683144539544775,-1.196972014353248,329.24514613880945,291.7466772840183,418.6351259804957,0.8583249958294699,0.86749460582182,0.8480510858371922
231100,黑河,黑河市,黑龙江,黑龙江省,230000,prefecture_level_city,50.243264,127.520943,127.0,1349.8146499999998,2.124189497716895,1562.355458393726,1575.622011677617,1546.7290239862457,0.8491379610585215,-1.0001843257581022,343.71898162383064,303.911560957758,437.9090616981248,0.8545351633623404,0.8617913458250435,0.8459882366002989
231200,绥化,绥化市,黑龙江,黑龙江省,230000,prefecture_level_city,46.652246,126.962391,173.0,1386.47925,3.2389166666666664,1579.567910368952,1590.7460242328948,1561.7887442590788,0.7076690904243454,-1.125571492885058,347.5057296601938,306.82873413098963,442.17276133254205,0.8591991772934495,0.8652794642963356,0.8495282762867316
232700,大兴安岭,大兴安岭地区,黑龙江,黑龙江省,230000,prefecture,50.409585,124.110234,371.0,1305.2349,0.4872842465753421,1531.0826462511486,1540.5227589730057,1514.493325651026,0.616564543068332,-1.0835026208899645,336.8389473240745,297.141492629916,428.78250869999255,0.8588335344315815,0.8641287974888673,0.8495280505769334
310000,上海,上海市,上海,上海市,310000,municipality,31.23,121.47,10.0,1497.36519,17.04124315068493,1361.8294792118631,1408.6276060617895,1349.2320385106354,3.436416053866753,-0.925038038427417,299.6031659922371,271.7010878203065,381.99382492643696,0.8312656307449854,0.8598313763301827,0.8235761074602207
320100,南京,南京市,江苏,江苏省,320000,prefecture_level_city,32.05,118.79,20.0,1456.4179,16.26455479452055,1367.577360849334,1414.520644950285,1356.7660408465754,3.4325871021875454,-0.7905454062243411,300.8677028249481,272.83775805854503,384.1268474808726,0.8303364378159217,0.8588384592851545,0.823772251250561
320200,无锡,无锡市,江苏,江苏省,320000,prefecture_level_city,31.492953,120.30728,5.0,1530.2645,17.568283105022832,1425.3483105116704,1473.3607242708545,1413.487362955461,3.3684688440784427,-0.8321437973256907,313.577340621327,284.18704121190285,400.1857566742648,0.8310799705481031,0.8590746404253923,0.824164190122371
320300,徐州,徐州市,江苏,江苏省,320000,prefecture_level_city,34.205515,117.277999,32.0,1534.2443999999998,15.369489726027394,1475.3806489167653,1524.274502223609,1464.4201307705432,3.313982282656469,-0.7428942594759791,324.58448007379104,294.00747124981746,414.6058135929028,0.8315239047274146,0.8590804596061344,0.8253465613730242
320400,常州,常州市,江苏,江苏省,320000,prefecture_level_city,31.813354,119.969342,2.0,1478.06145,17.042489726027398,1348.78559333838,1398.7003685047457,1338.536068618106,3.700719774358019,-0.7599076362393209,296.7335045814718,269.78628703712417,378.96558787459855,0.8274218508983819,0.8580424149519374,0.8211342090694925
320500,苏州,苏州市,江苏,江苏省,320000,prefecture_level_city,31.301942,120.581117,24.0,1437.75731,17.336736301369864,1307.0952218745829,1354.9461341516906,1296.3836811717315,3.6608589394490965,-0.819491994430932,287.5616020249382,261.34681515732325,367.0314273663764,0.8285338909428143,0.8588653479557598,0.8217441220353909
320600,南通,南通市,江苏,江苏省,320000,prefecture_level_city,31.983439,120.890306,2.0,1482.218,16.744971461187212,1346.4583101732935,1394.608866471532,1335.6592566938057,3.576089651973069,-0.8020340026790751,296.22150112210784,268.99710361599904,378.15110648133833,0.8281941386739765,0.8578111035653441,0.8215517400736162
320700,连云港,连云港市,江苏,江苏省,320000,prefecture_level_city,34.597674,119.215955,2.0,1512.59172,14.670262557077626,1410.903770144994,1456.1551106529794,1398.5946099356077,3.207259167174459,-0.8724308822366633,310.39953452209096,280.86836144410944,395.96932871572153,0.8340803388597687,0.8608314569894485,0.8268035644008919
320800,淮安,淮安市,江苏,江苏省,320000,prefecture_level_city,33.552777,119.107545,10.0,1532.7284500000003,15.702496575342463,1448.5740275115802,1497.7930212521558,1436.341191371097,3.397754813064391,-0.8444743525808818,318.6870099682116,288.89962929352333,406.6561198746065,0.8324269042554537,0.8607107294600365,0.8253972725450335
