case,context,adcode,technology,npv_usd,discounted_mwh,construction_usd
om=0.01,cap,230200,Si,201927.5643093249,20985.34538492012,558738.0237506496
om=0.01,cap,230300,Si,178531.91324754653,20400.454108375663,558738.0237506496
om=0.01,cap,230400,Si,173373.5159178857,20271.494175134143,558738.0237506496
om=0.01,cap,230500,Si,157179.55354434706,19866.645115795676,558738.0237506496
om=0.01,cap,230600,Si,209414.40580687913,21172.516422358978,558738.0237506496
om=0.01,cap,230700,Si,165781.91142450998,20081.70406279975,558738.0237506496
om=0.01,cap,230800,Si,170576.35052635125,20201.56504034578,558738.0237506496
om=0.01,cap,230900,Si,174999.12709719184,20312.134454616797,558738.0237506496
om=0.01,cap,231000,Si,154473.52148887375,19798.994314408843,558738.0237506496
om=0.01,cap,231100,Si,167528.61097334028,20125.371551520508,558738.0237506496
om=0.01,cap,231200,Si,178906.60360684342,20409.821367358087,558738.0237506496
om=0.01,cap,232700,Si,148603.88252463963,19652.253340302992,558738.0237506496
om=0.01,cap,310000,Si,92468.83057318644,18248.877041516662,558738.0237506496
om=0.01,cap,320100,Si,89289.0057112802,18169.381419969006,558738.0237506496
om=0.01,cap,320200,Si,101983.0560803075,18486.732679194687,558738.0237506496
om=0.01,cap,320300,Si,135329.79163335857,19320.401068020965,558738.0237506496
om=0.01,cap,320400,Si,89641.77824173635,18178.20073323041,558738.0237506496
om=0.01,cap,320500,Si,79559.52822879999,17926.144482907,558738.0237506496
om=0.01,cap,320600,Si,102027.34295102015,18487.839850962504,558738.0237506496
om=0.01,cap,320700,Si,124903.08493278621,19059.733400506655,558738.0237506496
om=0.01,cap,320800,Si,126758.26360031385,19106.112867194846,558738.0237506496
om=0.01,cap,320900,Si,131777.4819875152,19231.59332687488,558738.0237506496
om=0.01,cap,321000,Si,114840.16116020302,18808.160306192076,558738.0237506496
om=0.01,cap,321100,Si,99357.04049454034,18421.082289550508,558738.0237506496
om=0.01,cap,321200,Si,109308.7695635827,18669.875516276566,558738.0237506496
om=0.01,cap,321300,Si,125689.1851514522,19079.385905973304,558738.0237506496
om=0.01,cap,330100,Si,2407.7682005861334,15997.350482201653,558738.0237506496
om=0.01,cap,330200,Si,26422.505440130408,16597.71891319026,558738.0237506496
om=0.01,cap,330300,Si,26830.905175076623,16607.928906563917,558738.0237506496
om=0.01,cap,330400,Si,86643.26079043098,18103.237796947775,558738.0237506496
om=0.01,cap,330500,Si,58312.080990179194,17394.95830194148,558738.0237506496
om=0.01,cap,330600,Si,-6063.200787112578,15785.576257509187,558738.0237506496
om=0.01,cap,330700,Si,19567.910316063942,16426.3540350886,558738.0237506496
om=0.01,cap,330800,Si,7350.511660480947,16120.919068699022,558738.0237506496
om=0.01,cap,330900,Si,55470.29478876891,17323.91364690622,558738.0237506496
om=0.01,cap,331000,Si,-2675.9380302517,15870.257826430709,558738.0237506496
om=0.01,cap,331100,Si,5741.038308980592,16080.682234911515,558738.0237506496
om=0.01,cap,340100,Si,78463.23916978895,17898.737256431723,558738.0237506496
om=0.01,cap,340200,Si,75674.0776494255,17829.008218422638,558738.0237506496
om=0.01,cap,340300,Si,84602.94330960562,18052.22985992714,558738.0237506496
om=0.01,cap,340400,Si,97265.3991440153,18368.791255787382,558738.0237506496
om=0.01,cap,340500,Si,78178.48735021664,17891.618460942416,558738.0237506496
om=0.01,cap,340600,Si,127868.99084149979,19133.881048224495,558738.0237506496
om=0.01,cap,340700,Si,74394.05924494418,17797.007758310603,558738.0237506496
om=0.01,cap,340800,Si,59366.27372233931,17421.313120245482,558738.0237506496
om=0.01,cap,341000,Si,20503.3334255628,16449.73961282607,558738.0237506496
om=0.01,cap,341100,Si,92110.2258508189,18239.911923457472,558738.0237506496
om=0.01,cap,341200,Si,106686.27105273015,18604.313053505255,558738.0237506496
om=0.01,cap,341300,Si,126949.2125194173,19110.88659017243,558738.0237506496
om=0.01,cap,341500,Si,54843.64445785911,17308.247388633477,558738.0237506496
om=0.01,cap,341600,Si,126752.00829372351,19105.95648453009,558738.0237506496
om=0.01,cap,341700,Si,60986.601118584076,17461.821305151603,558738.0237506496
