case,context,strategy,share,before_viable,after_viable,after_si,after_sj,after_t,total_public_usd,private_gain_usd,additional_discounted_mwh
sj_burn=0,area,New technology,0.0,337,337,188,16,133,0.0,0.0,0.0
sj_burn=0,area,Matched gap,0.0,337,337,188,16,133,0.0,0.0,0.0
sj_burn=0,area,General,0.1,337,337,129,4,204,34531991.138974585,31692705.055131435,338025.09890280524
sj_burn=0,area,New technology,0.1,337,337,0,39,298,36315048.876156665,28314475.268264778,605688.4020235649
sj_burn=0,area,Matched gap,0.1,337,337,129,4,204,1254737.9810865726,83.0,338025.09890280524
sj_burn=0,area,General,0.2,337,337,70,0,267,73277879.64123136,65567268.77653369,595596.828691581
sj_burn=0,area,New technology,0.2,337,337,0,7,330,76761109.87940724,63852207.83576811,798653.9634539285
sj_burn=0,area,Matched gap,0.2,337,337,70,0,267,4432404.925870985,150.0,595596.828691581
sj_burn=0,area,General,0.3,337,337,32,0,305,113489000.61950026,101180048.1250806,733773.9004059602
sj_burn=0,area,New technology,0.3,337,337,0,0,337,116497153.17331353,100605579.8717818,835388.992389091
sj_burn=0,area,Matched gap,0.3,337,337,32,0,305,7250147.488165642,188.0,733773.9004059602
sj_burn=0.1,cap,General,0.0,236,236,229,7,0,0.0,0.0,0.0
sj_burn=0.1,cap,New technology,0.0,236,236,229,7,0,0.0,0.0,0.0
sj_burn=0.1,cap,Matched gap,0.0,236,236,229,7,0,0.0,0.0,0.0
sj_burn=0.1,cap,General,0.1,236,286,286,0,0,16778902.85323201,14668693.139548067,826526.0531530327
sj_burn=0.1,cap,New technology,0.1,236,281,60,221,0,8933925.0,4147938.829355115,247964.6639340155
sj_burn=0.1,cap,Matched gap,0.1,236,286,286,0,0,1376834.9067065387,57.0,826526.0531530327
sj_burn=0.1,cap,General,0.2,236,313,313,0,0,36725850.301130205,31486602.67390151,1228927.2175340457
sj_burn=0.1,cap,New technology,0.2,236,303,0,303,0,24497550.0,15044838.827454353,367106.669145603
sj_burn=0.1,cap,Matched gap,0.2,236,313,313,0,0,3665005.6935336194,84.0,1228927.2175340457
sj_burn=0.1,cap,General,0.3,236,333,333,0,0,58608825.001324385,49704365.35899486,1501778.2598918467
sj_burn=0.1,cap,New technology,0.3,236,324,0,324,0,39293100.0,27063874.55808247,630966.3868046222
sj_burn=0.1,cap,Matched gap,0.3,236,333,333,0,0,6419350.574379779,104.0,1501778.2598918467
sj_burn=0.1,area,General,0.0,337,337,204,0,133,0.0,0.0,0.0
sj_burn=0.1,area,New technology,0.0,337,337,204,0,133,0.0,0.0,0.0
sj_burn=0.1,area,Matched gap,0.0,337,337,204,0,133,0.0,0.0,0.0
sj_burn=0.1,area,General,0.1,337,337,133,0,204,34664839.70717573,31913294.218655378,307086.9283142697
sj_burn=0.1,area,New technology,0.1,337,337,10,0,327,37680088.118371435,27031616.58112573,766004.3954359293
sj_burn=0.1,area,Matched gap,0.1,337,337,133,0,204,1155955.3275875826,71.0,307086.9283142697
sj_burn=0.1,area,General,0.2,337,337,70,0,267,73277879.64123136,65801726.51809957,555708.8777161391
sj_burn=0.1,area,New technology,0.2,337,337,0,0,337,77664768.78220902,63856814.38372435,795501.041413649
